Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/01/2022;0;24.3;24.3;24.1;96;97;96;23.6;23.8;23.5;1009;1009;1008.7;0;28;2;;0
01/01/2022;100;24.5;24.6;24.3;97;97;95;23.9;24;23.6;1009.5;1009.5;1009;0;169;1.5;;0.2
01/01/2022;200;24.1;24.6;24.1;97;97;97;23.6;24.1;23.6;1009.8;1009.8;1009.5;0.9;137;4.3;;1
01/01/2022;300;23.9;24.1;23.9;98;98;97;23.5;23.7;23.5;1009.4;1009.8;1009.4;1.6;149;3.2;;0.4
01/01/2022;400;23.9;23.9;23.9;98;98;98;23.5;23.6;23.5;1008.7;1009.4;1008.7;0.1;142;3.2;;0.6
01/01/2022;500;23.7;24;23.7;98;98;98;23.3;23.6;23.3;1007.7;1008.7;1007.7;0.2;154;2;;0
01/01/2022;600;23.8;23.8;23.6;98;98;98;23.4;23.4;23.2;1007.5;1007.7;1007.3;0.3;121;2.3;;0
01/01/2022;700;23.4;23.8;23.4;98;98;98;23.1;23.4;23;1007.3;1007.5;1007.2;0.3;113;3.6;;0
01/01/2022;800;23.4;23.5;23.3;98;98;98;23.1;23.2;23;1007.3;1007.3;1007.1;0.1;79;1.9;;0
01/01/2022;900;23.5;23.5;23.4;98;98;98;23.2;23.2;23.1;1007.9;1007.9;1007.3;0.5;74;2.9;;0
01/01/2022;1000;23.6;23.6;23.4;98;98;98;23.3;23.3;23;1008.6;1008.6;1007.9;0.2;75;2.9;40.3;0
01/01/2022;1100;24.2;24.5;23.5;96;98;96;23.5;24;23.2;1009.7;1009.7;1008.6;0.7;116;2.3;314.7;0
01/01/2022;1200;26.9;27.3;24.1;85;97;85;24.3;25.5;23.5;1009.9;1009.9;1009.6;1.6;121;3.8;920;0
01/01/2022;1300;28.3;28.3;26.5;81;89;81;24.8;25.9;23.8;1010.3;1010.3;1009.9;1;115;4.2;1361.2;0
01/01/2022;1400;30.1;30.1;27.9;75;84;75;25.2;25.8;23.9;1009.6;1010.3;1009.6;2.6;118;5.9;1966.6;0.2
01/01/2022;1500;31.5;31.5;29.2;67;78;67;24.6;25.9;23.5;1009;1009.6;1009;2.8;109;6.1;2494.8;0
01/01/2022;1600;31.3;32.9;30.8;66;70;61;24;25.6;23.3;1008.4;1009;1008.4;2.8;119;5.7;3223.9;0
01/01/2022;1700;31.8;33.1;30.2;62;70;60;23.7;25.2;23;1007.4;1008.4;1007.4;2.5;112;5.6;3198.6;0
01/01/2022;1800;31.1;32.7;30.8;64;66;60;23.5;24.6;23;1006.7;1007.3;1006.7;1.9;118;5.7;2436.5;0
01/01/2022;1900;29.1;31.7;29.1;76;76;60;24.5;24.8;22.6;1006.3;1006.7;1006.1;1.5;33;6;966.3;0
01/01/2022;2000;25.1;29;24.6;96;96;76;24.5;24.5;23.3;1006.8;1007.1;1006.3;0.9;76;6.2;212.7;9.4
01/01/2022;2100;24.9;25.3;24.9;94;96;91;23.8;24.6;23.4;1007.3;1007.3;1006.8;0.4;64;4.5;145.2;0
01/01/2022;2200;25;25;24.9;92;95;91;23.6;24.2;23.4;1007.2;1007.3;1007.2;0.4;25;3.4;10.6;0
01/01/2022;2300;24.9;25.1;24.9;93;93;92;23.7;23.9;23.5;1008.3;1008.3;1007.1;0.3;356;2.5;0.4;0
02/01/2022;0;24.8;25;24.8;91;93;90;23.3;23.8;23.2;1009.2;1009.2;1008.3;0.4;40;3.3;0.4;0
02/01/2022;100;24.8;24.8;24.7;91;93;91;23.1;23.5;23;1009.9;1009.9;1009.2;0.1;52;2.9;0.7;0
02/01/2022;200;24.8;24.8;24.7;91;92;90;23.2;23.2;23;1009.9;1010.1;1009.9;0;47;3.6;1.7;0
02/01/2022;300;24.7;24.9;24.7;91;92;90;23.1;23.5;23.1;1009.5;1009.9;1009.5;0.1;57;2.7;0.2;0
02/01/2022;400;24.6;24.8;24.6;92;93;91;23.3;23.3;23.1;1008.9;1009.5;1008.9;0.4;66;3.3;;0
02/01/2022;500;24.4;24.6;24.4;94;94;92;23.3;23.3;23.2;1008.4;1008.9;1008.4;0.4;81;4;;0
02/01/2022;600;24.2;24.4;24.2;95;95;94;23.4;23.5;23.3;1008;1008.4;1008;0.5;71;2.7;;0
02/01/2022;700;24.1;24.2;24;96;96;95;23.4;23.5;23.3;1007.6;1008;1007.6;0.1;107;2.5;;0
02/01/2022;800;24.3;24.3;24.1;96;96;95;23.5;23.5;23.3;1008;1008;1007.6;0.2;84;2.2;;0
02/01/2022;900;24.1;24.3;24.1;95;96;95;23.2;23.5;23.2;1008.2;1008.3;1008;0.1;63;2.2;;0
02/01/2022;1000;24.3;24.4;24;93;95;93;23.1;23.2;22.9;1008.9;1008.9;1008.2;0.2;87;2.8;59.1;0
02/01/2022;1100;25.6;25.6;24.3;89;93;89;23.7;23.7;23;1009.6;1009.6;1008.9;1.1;80;4;359.2;0
02/01/2022;1200;27.6;27.8;25.6;81;89;79;24;24.2;23.4;1010.2;1010.2;1009.6;1.4;106;3.9;817.6;0
02/01/2022;1300;29.7;29.8;27.6;75;82;74;24.8;25.3;23.5;1010.1;1010.4;1010.1;2;96;4.8;1399.5;0
02/01/2022;1400;29.7;31;28.3;77;81;71;25.2;25.8;24;1010;1010.2;1010;2.7;111;5.6;1857.3;0
02/01/2022;1500;30.8;31.1;29.2;70;77;69;24.7;25.8;23.9;1009.3;1010.1;1009.3;2.1;121;5.3;1925.1;0
02/01/2022;1600;30.9;32.2;30;69;77;65;24.7;26.4;24.1;1008.5;1009.3;1008.5;1.8;106;5.7;1744.3;0
02/01/2022;1700;32;32.5;30.1;71;75;63;26.1;26.1;24;1007.4;1008.5;1007.4;1.6;109;4.7;2057.5;0
02/01/2022;1800;30.9;33.1;30.8;64;71;60;23.2;25.7;23.2;1006;1007.4;1006;1;53;5.4;2288.5;0
02/01/2022;1900;30;32.2;30;77;77;63;25.4;25.5;23.2;1005.8;1006;1005.7;2;312;4.9;863.8;0
02/01/2022;2000;26.1;30;26;89;89;76;24.2;25.6;23.5;1006.5;1006.6;1005.7;1.4;48;8.2;193.3;0
02/01/2022;2100;26.5;27.1;26;86;89;84;24;24.5;23.9;1006.7;1006.8;1006.5;0.6;44;7.1;339.1;0
02/01/2022;2200;26.1;26.5;26.1;88;89;86;24;24.2;23.9;1007.2;1007.4;1006.7;0.7;68;4.4;44.1;0
02/01/2022;2300;24.8;26.3;24.8;92;92;88;23.4;24.3;23.3;1008.5;1008.5;1007.2;1;57;6.4;;0.2
03/01/2022;0;24.6;24.8;24.5;94;94;92;23.6;23.6;23.3;1009.4;1009.4;1008.5;0;77;4.8;;0.4
03/01/2022;100;24.7;24.7;24.5;95;95;93;23.7;23.9;23.4;1009.5;1009.6;1009.4;0.1;65;2;;0
03/01/2022;200;24.6;24.7;24.6;95;95;94;23.8;23.8;23.5;1009.7;1009.7;1009.5;0;91;2.5;;0
03/01/2022;300;24.4;24.7;24.4;95;95;94;23.6;23.8;23.5;1009.3;1009.9;1009.3;0;124;1.7;;0
